14:01:21:803   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600728
14:01:22:091   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600714 日期:20160407,最高价:14.100,最低价:10.490,不满足区间:0.300
14:01:22:096   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600714
14:01:22:135   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600713 日期:20160428,最高价:8.880,最低价:6.500,不满足区间:0.300
14:01:22:136   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600713
14:01:22:181   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600710
14:01:22:258   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600707 日期:20160413,最高价:8.890,最低价:6.520,不满足区间:0.300
14:01:22:263   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600707
14:01:22:350   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600701 日期:20160426,最高价:18.800,最低价:13.990,不满足区间:0.300
14:01:22:353   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600701
14:01:22:440   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600696 日期:20160318,最高价:17.380,最低价:13.000,不满足区间:0.300
14:01:22:447   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600696
14:01:22:552   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600692 日期:20160407,最高价:17.030,最低价:12.330,不满足区间:0.300
14:01:22:557   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600692
14:01:22:763   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600678 日期:20160407,最高价:16.670,最低价:12.470,不满足区间:0.300
14:01:22:772   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600678
14:01:22:972   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600654 日期:20160406,最高价:34.980,最低价:25.960,不满足区间:0.300
14:01:22:979   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600654
14:01:23:045   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600650 日期:20160420,最高价:44.980,最低价:33.300,不满足区间:0.300
14:01:23:052   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600650
14:01:23:327   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600630 日期:20160420,最高价:24.830,最低价:18.710,不满足区间:0.300
14:01:23:329   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600630
14:01:23:346   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600629 日期:20160406,最高价:20.920,最低价:16.020,不满足区间:0.300
14:01:23:346   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600629
14:01:23:448   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600623 日期:20160427,最高价:27.620,最低价:21.200,不满足区间:0.300
14:01:23:452   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600623
14:01:23:692   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600610 日期:20160420,最高价:19.500,最低价:14.600,不满足区间:0.300
14:01:23:700   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600610
14:01:23:915   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600592 日期:20160328,最高价:10.960,最低价:8.370,不满足区间:0.300
14:01:23:918   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600592
14:01:24:012   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600584 日期:20151111,最高价:18.480,最低价:14.160,不满足区间:0.300
14:01:24:019   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600584
14:01:24:036   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600581 日期:20160112,最高价:10.500,最低价:7.650,不满足区间:0.300
14:01:24:036   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600581
14:01:24:073   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600579 日期:20160406,最高价:14.950,最低价:11.150,不满足区间:0.300
14:01:24:081   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600579
14:01:24:096   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600576 日期:20160318,最高价:20.240,最低价:15.120,不满足区间:0.300
14:01:24:097   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600576
14:01:24:114   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600573 日期:20160429,最高价:18.010,最低价:13.850,不满足区间:0.300
14:01:24:114   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600573
14:01:24:130   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600571 日期:20160113,最高价:52.090,最低价:39.190,不满足区间:0.300
14:01:24:130   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600571
14:01:24:301   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600556 日期:20160105,最高价:29.870,最低价:22.200,不满足区间:0.300
14:01:24:318   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600556
14:01:24:446   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600549 日期:20160419,最高价:23.070,最低价:17.600,不满足区间:0.300
14:01:24:451   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600549
14:01:24:496   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600543 日期:20160419,最高价:14.690,最低价:10.580,不满足区间:0.300
14:01:24:501   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600543
14:01:24:518   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600540 日期:20160415,最高价:8.330,最低价:6.330,不满足区间:0.300
14:01:24:518   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600540
14:01:24:538   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600539 日期:20160112,最高价:13.590,最低价:10.440,不满足区间:0.300
14:01:24:538   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600539
14:01:24:555   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600538 日期:20160331,最高价:15.060,最低价:11.510,不满足区间:0.300
